product,date,actual,predicted,abs_error,unit_price,strategic_logic
ChocoFilledCookie,2026-06-30,0,0,0,3.25,"The prediction of 0 waste is driven by the consistent pattern observed across all six `NO_STUDENT_DAY` shifts that did not feature a BOGO deal, each recording 0 leftover count. CaryHigh_ Status showed a clear correlation, with `NO_STUDENT_DAY` yielding 0 waste when no BOGO was present, contrasting with `REGULAR_SCHOOL_DAY` (OPEN) shifts that showed variable waste (0 to 10) even without BOGO. Shift_Notes detailing BOGO deals were discounted as per instructions since tomorrow has no such deal, reinforcing the reliability of the 0 waste observations on non-BOGO, `NO_STUDENT_DAY` shifts."
CreamCheeseTart,2026-06-30,7,0,7,3.5,"The prediction is driven by row 2026-05-16, which most closely matches tomorrow's temperature (88/84 vs 90/84), humidity (0.27 vs 0.44), weather (Scattered Clouds vs Passing Clouds), and NO_STUDENT_DAY status, all without a BOGO deal; `CaryHigh_ Status` on `NO_STUDENT_DAY` showed variable waste, but the closest matches were zero; `Shift_Notes` with BOGO deals on this item were discounted as instructed, while other non-BOGO observations for this item under similar conditions also supported low waste."
CurryCroquette,2026-06-30,3,0,3,3.5,"The prediction is based on rows 2026-05-16, 2026-06-17, 2026-06-18, and 2026-06-25, which all had 0 waste under similar NO_STUDENT_DAY conditions and moderate temperatures; CaryHigh_ Status correlation is ambiguous, but the absence of BOGO deals in Shift_Notes for tomorrow removes factors that previously suppressed or increased waste."
JalapenoCheeseCroissant,2026-06-30,0,0,0,4.25,"The prediction heavily weighted the 2026-05-16 row for its precise alignment in temperature, school status (NO_STUDENT_DAY), and absence of specific shift notes like BOGO deals or unusual traffic; CaryHigh_ Status did not reveal a consistent waste pattern for this item, and BOGO deals in other rows were disregarded as tomorrow has no such promotion."
KimchiCroquette,2026-06-30,0,6,6,3.5,"The prediction is primarily driven by the 2026-06-18 shift, which had the closest matching temperature (97/81 vs 90/84), humidity (0.51 vs 0.44), and similar weather (Broken Clouds vs Passing Clouds) under NO_STUDENT_DAY status; CaryHigh_ Status for NO_STUDENT_DAY typically shows higher waste variability than REGULAR_SCHOOL_DAY, and Shift_Notes indicating BOGO deals for Kimchi Croquette were discounted as tomorrow has no such deal, while the ""Absolutely dead"" note for 2026-06-18 suggests 6 units can be leftover even on slow days."
MangoCreamDonut,2026-06-30,0,0,0,4.5,"The prediction is based on the closest matching non-BOGO rows (2026-05-16, 2026-06-17, 2026-06-18) which consistently showed zero waste under similar NO_STUDENT_DAY, temperature, humidity, and weather conditions, indicating no strong school-status sensitivity for waste with BOGO deal rows discounted due to absence of deals tomorrow."
MilkCreamBread,2026-06-30,5,8,3,3.5,"The prediction is primarily based on the 2026-06-25 shift, which had nearly identical temperature (88/84F vs 90/84F) and humidity (0.46 vs 0.44) on a NO_STUDENT_DAY, showing 7 waste with a BOGO on MilkCreamBread, implying higher waste without the deal; this is further supported by the 2026-06-13 shift (8 waste on a NO_STUDENT_DAY with no MilkCreamBread BOGO under similar, albeit slightly higher, temperatures and humidity)."
MontBlancPastry,2026-06-30,0,0,0,6.0,"The prediction is driven by Rows 1 and 2, which share similar weather and temperature conditions to tomorrow without BOGO deals, both resulting in 0 waste; `NO_STUDENT_DAY` shifts without BOGO deals consistently show predominant 0 waste for this item; and BOGO deals in Shift_Notes were discounted as they artificially suppress waste."
MorningBread,2026-06-30,0,0,0,6.75,"The prediction of 0 is primarily driven by row 2026-05-16, which closely matches tomorrow's temperature, weather, and NO_STUDENT_DAY status without a BOGO deal; while higher waste counts on other NO_STUDENT_DAY shifts were consistently tied to explicit 'Absolutely dead' traffic notes which are not present for tomorrow."
PlusMilkRoll,2026-06-30,4,0,4,6.5,"The prediction of 0 waste is primarily based on all historical NO_STUDENT_DAY shifts that also had no BOGO deals (2026-05-16, 2026-05-23, 2026-05-24, 2026-06-17, 2026-06-18, 2026-06-23) consistently showing 0 PlusMilkRoll waste, with 2026-05-16 offering the closest temperature match. CaryHigh_ Status showed a correlation of 0 waste for all NO_STUDENT_DAY shifts without BOGO deals, while OPEN days sometimes recorded waste of 1, indicating lower waste on NO_STUDENT_DAY. Shift_Notes confirmed PlusMilkRoll was never part of a BOGO deal, and discounting all days with any BOGO deal as per instructions, the remaining shifts without BOGO deals overwhelmingly had 0 waste."
RedBeanBread,2026-06-30,3,8,5,3.25,"The prediction is primarily driven by the 2026-05-16 entry, which shared the most similar temperature, weather, and `NO_STUDENT_DAY` status, and lacked any BOGO deals or unusual traffic notes comparable to tomorrow; `CaryHigh_ Status` did not show a strong, consistent correlation with RedBeanBread waste due to its high unpredictability across both statuses, and `Shift_Notes` with BOGO deals were discounted as tomorrow has no deal."
RedBeanMilkCreamBread,2026-06-30,0,4,4,3.5,"The prediction of 4 units is primarily driven by the 2026-06-13 row, which had a very similar humidity (0.38 vs. tomorrow's 0.44) and comparable weather on a NO_STUDENT_DAY, despite slightly higher temperatures than tomorrow's forecast; CaryHigh_ Status showed NO_STUDENT_DAYs have higher and more unpredictable waste counts than REGULAR_SCHOOL_DAYs; and Shift_Notes indicating BOGO deals for this item were discounted as tomorrow has no such deal."
StrawberrySoftBread,2026-06-30,5,0,5,4.25,"The prediction is driven by tracker rows on 'NO_STUDENT_DAY' without BOGO deals, particularly 2026-05-16 and 2026-06-18 which closely matched tomorrow's temperature and humidity conditions, both yielding 0 waste; 'NO_STUDENT_DAY' status consistently correlated with 0 or 1 waste for this item, suggesting lower demand or better sales on such days, and the absence of BOGO deals removed any artificial suppression of waste."
TaroButterCreamBread,2026-06-30,0,6,6,7.5,"The prediction is primarily driven by Row 18 (2026-06-18), which exhibited the most similar combination of high temperature, high humidity (0.51 vs tomorrow's 0.44), 'Broken Clouds' weather (similar to 'Passing Clouds'), and 'NO_STUDENT_DAY' status without a BOGO deal. No strong, consistent correlation was found between 'CaryHigh_ Status' and waste for non-BOGO days, as varying waste counts were observed for both 'OPEN' and 'NO_STUDENT_DAY' statuses; rows with BOGO deals in 'Shift_Notes' were discounted as tomorrow has no such deal."
UbeCreamDonut,2026-06-30,0,0,0,4.5,"The prediction of 0 is primarily driven by the closest matching row (2026-05-16), which featured similar temperature (88/84 vs 90/84), similar weather (Scattered Clouds vs Passing Clouds), matching NO_STUDENT_DAY status, and no BOGO deals, resulting in zero waste. CaryHigh_ Status for NO_STUDENT_DAY did not consistently correlate with higher waste for this item; while the highest waste counts occurred on NO_STUDENT_DAYs, they were under extreme temperature or high humidity conditions not present tomorrow, or involved BOGO deals. Shift_Notes indicating BOGO deals were discounted as tomorrow has no deal, and notes about ""absolutely dead"" traffic were given less weight as they might artificially suppress waste for similar conditions."
StrawberryCreamCroissant,2026-06-30,0,0,0,5.55,"The prediction of 0 waste is primarily based on rows 2026-05-16, 2026-06-17, and 2026-06-18, which had the most similar NO_STUDENT_DAY status and environmental conditions (high temperature, similar humidity and weather) to tomorrow without BOGO deals; CaryHigh_ Status showed no significant correlation with waste for this item in non-BOGO scenarios, and BOGO deals in Shift_Notes were discounted as they artificially suppress waste."
ButterCreamBread,2026-07-02,0,0,0,7.5,"The prediction of 0 waste is primarily driven by the closest historical match (2026-06-07), which shared tomorrow's exact temperature and NO_STUDENT_DAY status, resulting in 0 waste; this item showed no consistent school-status sensitivity, and Shift_Notes indicating no BOGO for ButterCreamBread on key similar days allowed for a direct interpretation of observed waste."
ChocoCreamDonut,2026-07-02,0,1,1,4.5,"The prediction of 1 leftover is based on an average of the most contextually similar tracker entries: 2026-06-07 (exact temperature match, 0 waste), 2026-06-30 (exact weather and very close humidity, 0 waste), and 2026-06-18 (exact high temperature match with no BOGO, 2 waste). CaryHigh_ Status showed no consistent correlation with higher or lower waste for this item. Shift_Notes indicated that BOGO deals on other items did not directly suppress ChocoCreamDonut waste, and notes detailing ""absolutely dead"" or ""sluggish"" traffic frequently correlated with non-zero waste counts (e.g., 2026-06-18 waste of 2), while ""busy"" days (e.g., 2026-06-07, 2026-06-30) often resulted in 0 waste."
ChocoFilledCookie,2026-07-02,2,0,2,3.25,"The 0 waste prediction is primarily based on rows like 2026-06-30 (non-BOGO, similar conditions) and 2026-06-07 (BOGO, exact temperature match), where ChocoFilledCookie waste was 0; the item shows strong sensitivity to CaryHigh_ Status with virtually no waste on NO_STUDENT_DAYs, and BOGO deals in Shift_Notes were discounted given tomorrow has no deal."
CurryCroquette,2026-07-02,0,2,2,3.5,"The prediction of 2 is driven primarily by the 2026-06-07 row, which matches tomorrow's exact high temperature (97/93F) on a NO_STUDENT_DAY, with comparable weather and no CurryCroquette BOGO; CaryHigh_ Status for NO_STUDENT_DAY generally correlates with higher and more unpredictable waste counts for this item; rows with BOGO deals on Curry Croquette were discounted as these artificially suppressed waste."
JalapenoCheeseCroissant,2026-07-02,1,4,3,4.25,"The prediction is based on row 2026-06-17, which had the closest overall temperature profile (93/90°F vs tomorrow's 97/93°F and narrow range), similar weather, was a NO_STUDENT_DAY (a status correlated with higher waste for this item), and had no BOGO deal, making it the most analogous match when discounting BOGO rows as instructed."
MangoCreamDonut,2026-07-02,0,0,0,4.5,"The prediction of zero waste is primarily driven by strong matches in historical data, specifically 2026-06-07, 2026-06-13, and 2026-06-30, all of which had very similar temperature, humidity, and weather conditions, as well as 'NO_STUDENT_DAY' status as tomorrow, and resulted in 0 waste. The 'CaryHigh_ Status' for this item did not show a clear correlation with waste, as zero waste was common across both school statuses, and Shift_Notes indicating BOGO deals for other items did not affect this item's sales."
MilkCreamBread,2026-07-02,0,5,5,3.5,"The prediction was primarily driven by the 2026-06-30 tracker row, which closely matched tomorrow's exact weather (""Passing Clouds"") and very close humidity (0.44 vs. 0.42); CaryHigh_ Status on NO_STUDENT_DAY generally correlated with 0 waste for this item unless demand was noted as ""weirdly busy"" (leading to 5 waste) or there was a BOGO deal, which was discounted for tomorrow's no-deal scenario."
MontBlancPastry,2026-07-02,0,0,0,6.0,"The prediction was driven by rows like 2026-06-30, 2026-06-18, and 2026-06-17, which closely matched tomorrow's 'NO_STUDENT_DAY' status, no BOGO deal, and similar weather, temperature, and humidity, consistently showing 0 waste; MontBlancPastry exhibited low waste regardless of CaryHigh_ Status without BOGO deals, while BOGO deals in Shift_Notes were disregarded as tomorrow has no such promotion."
MorningBread,2026-07-02,0,2,2,6.75,"The prediction is primarily driven by the 2026-06-18 tracker row, which closely matches tomorrow's very high temperature, similar humidity, and cloudy conditions, resulting in 2 units of waste when there was no BOGO deal and ""Absolutely dead in terms of foot traffic."" Waste for this item is consistently low regardless of CaryHigh_ Status, but all non-BOGO waste counts greater than zero occurred on NO_STUDENT_DAYs; BOGO deals in Shift_Notes artificially suppressed waste, leading to an upward adjustment for tomorrow's forecast due to the absence of a deal."
PlusMilkRoll,2026-07-02,0,4,4,6.5,"Row 2026-06-30 provided the closest context match for tomorrow's 'Passing Clouds' weather, 0.44 humidity (vs 0.42 tomorrow), and 'NO_STUDENT_DAY' status, resulting in 4 units of waste. CaryHigh_ Status showed no consistent correlation with waste for this unpredictable item; however, the highest waste occurred on a NO_STUDENT_DAY. Shift_Notes with BOGO deals were discounted because tomorrow has no such deal, preventing artificial suppression of the waste estimate."
StrawberrySoftBread,2026-07-02,0,5,5,4.25,"The prediction is primarily driven by the 2026-06-30 (Tuesday) tracker row, which closely matches tomorrow's ""NO_STUDENT_DAY"" status, ""Passing Clouds"" weather, and similar humidity (0.44 vs 0.42) without a BOGO deal. 'NO_STUDENT_DAY' status correlated with generally lower waste compared to 'OPEN' days, indicating school status sensitivity, while BOGO deals in Shift_Notes were discounted as tomorrow has no such deal."
UbeCreamDonut,2026-07-02,0,0,0,4.5,"The prediction is primarily based on three tracker rows (2026-06-07, 2026-06-18, 2026-06-30) which closely match tomorrow's high temperature, humidity, passing clouds weather, and NO_STUDENT_DAY status, all consistently resulting in 0 waste. CaryHigh_ Status did not show a consistent correlation with waste for this item; while the highest waste counts occurred on NO_STUDENT_DAYs, the most contextually similar NO_STUDENT_DAYs resulted in zero waste, and no BOGO deals on UbeCreamDonut for tomorrow led to discounting rows where such deals were present."
ButterCreamBread,2026-07-14,0,1,1,7.5,"The prediction of 1 unit of waste is primarily based on Row 21, which featured nearly identical weather, temperature, humidity, and NO_STUDENT_DAY status as tomorrow but required a BOGO deal to achieve zero waste, thus implying waste without such a deal; additionally, Row 19 on a NO_STUDENT_DAY without BOGO had 1 unit of waste despite different weather, supporting that CaryHigh_ Status alone does not prevent waste when Shift_Notes lack demand-boosting deals."
ChocoCreamDonut,2026-07-14,1,5,4,4.5,"The prediction is primarily driven by Row 21 (2026-06-25), which provided an exact match for humidity, weather, and school status, alongside a very close temperature match; CaryHigh_ Status did not exhibit a clear correlation with waste across the sample; the BOGO on other items in Row 21 resulted in an above-average waste count, indicating it did not artificially suppress ChocoCreamDonut waste to a low level and thus remained a relevant, high-weight data point despite tomorrow having no BOGO."
ChocoFilledCookie,2026-07-14,4,2,2,3.25,"The prediction is primarily driven by the 2026-07-02 row, a NO_STUDENT_DAY with very similar humidity (0.42 vs tomorrow's 0.46) and no BOGO deal, which resulted in 2 units of waste. CaryHigh_Status showed no clear direct correlation with waste direction for this item, as waste occurred on both NO_STUDENT_DAY and OPEN days. Shift_Notes indicating BOGO deals were discounted, and the ""weirdly busy"" note on 2026-07-02 provided a robust baseline for waste under non-extreme, non-BOGO conditions."
CurryCroquette,2026-07-14,0,0,0,3.5,"The prediction primarily weighted the 2026-06-25 and 2026-05-16 tracker rows due to their close environmental and school status match; while NO_STUDENT_DAY historically saw slightly higher waste than OPEN days, rows with BOGO deals on 'croquette' were discounted to avoid artificial waste suppression."
JalapenoCheeseCroissant,2026-07-14,0,0,0,4.25,"The prediction is primarily driven by the 2026-05-16 tracker row, which exhibited conditions (Temp 88/84, Scattered Clouds, NO_STUDENT_DAY, no special shift notes) most closely matching tomorrow's temperature (88/82), weather (Partly Sunny), and school status without any unusual events. CaryHigh_ Status showed a slightly higher average waste on NO_STUDENT_DAYs (0.86) compared to OPEN days (0.4) for non-BOGO, non-event shifts, but specific Shift_Notes such as BOGO deals, ""dead traffic,"" or ""weirdly busy"" were carefully considered and discounted as they indicate atypical demand scenarios not assumed for tomorrow."
MangoCreamDonut,2026-07-14,1,0,1,4.5,"The prediction is primarily driven by the 2026-06-25 tracker row, which presents an almost exact match for tomorrow's temperature, humidity, weather, and CaryHigh_Status, with MangoCreamDonut not subject to a BOGO deal, resulting in 0 waste. Most shifts, regardless of CaryHigh_Status, showed 0 waste for this item, indicating no direct correlation between school status and high waste. Shift_Notes were crucial in confirming when MangoCreamDonut was not part of BOGO deals, ensuring a direct comparison of waste under natural demand."
MilkCreamBread,2026-07-14,8,5,3,3.5,"The prediction of 5 is primarily based on the 2026-06-30 entry, which had nearly identical temperature (90/84 vs 88/82), humidity (0.44 vs 0.46), and similar weather (Passing Clouds vs Partly Sunny) on a NO_STUDENT_DAY, with no MilkCreamBread BOGO. CaryHigh_ Status correlation showed higher average and maximum waste on NO_STUDENT_DAYs compared to REGULAR_SCHOOL_DAYs, highlighting unpredictability. Shift_Notes indicated that BOGO deals artificially suppress waste, so rows with MilkCreamBread BOGO (e.g., 2026-06-25 with 7 waste) were discounted as less representative for tomorrow's no-deal scenario."
MontBlancPastry,2026-07-14,0,1,1,6.0,"The forecast of 1 is primarily based on tracker row 2026-06-23, as it is the only non-BOGO, NO_STUDENT_DAY shift with 'Partly Sunny' weather; while NO_STUDENT_DAY generally correlates with lower waste, the rule to discount BOGO deals in Shift_Notes (such as on the closely matching 2026-06-25) suggests waste would likely be greater than zero without such a promotion."
MorningBread,2026-07-14,0,1,1,6.75,"The prediction primarily considers the 2026-06-25 entry due to its exact matches in humidity, weather, and school status; however, the absent BOGO deal for tomorrow, combined with observed low-traffic `NO_STUDENT_DAY` entries like 2026-06-17 that showed waste, suggests a count of 1 as CaryHigh_ Status alone does not consistently correlate with waste."
PlusMilkRoll,2026-07-14,0,1,1,6.5,"The prediction is primarily driven by Row 21 (2026-06-25, Thursday) which had an exact match for weather (Partly Sunny), humidity (0.46), and school status (NO_STUDENT_DAY), and very close temperatures (88/84 vs 88/82), yielding 1 unit of waste. CaryHigh_ Status showed no clear correlation with higher or lower waste for this item, as both statuses exhibited generally low waste. Shift_Notes from Row 21 indicated BOGO deals were active for other items, not PlusMilkRoll, making the observed waste of 1 directly applicable to tomorrow's no-deal scenario for this specific item."
StrawberrySoftBread,2026-07-14,0,5,5,4.25,"The prediction of 5 units is primarily driven by the 2026-06-30 tracker row, which most closely matches tomorrow's temperature (90/84 vs 88/82) and humidity (0.44 vs 0.46) on a NO_STUDENT_DAY with no BOGO deal. While the 2026-06-25 row had an exact match for tomorrow's weather, humidity, and school status, its waste of 3 was ""artificially suppressed"" by a BOGO deal, suggesting tomorrow's non-BOGO waste would be higher than 3."
UbeCreamDonut,2026-07-14,1,0,1,4.5,"The prediction of 0 waste is primarily based on non-BOGO NO_STUDENT_DAY rows, like 2026-06-30 and 2026-05-16, which closely match tomorrow's weather, temperature, and humidity, and historically recorded zero waste, further supported by NO_STUDENT_DAY periods generally showing slightly lower waste than OPEN days after discounting BOGO deals."
